Date,Close
2018-03-12,1064.02
2018-03-13,1065.87
2018-03-14,1063.55
2018-03-15,1068.77
2018-03-16,1069.53
2018-03-19,1072.49
2018-03-20,1070.91
2018-03-21,1064.15
2018-03-22,1080.21
2018-03-23,1082.87
2018-03-26,1074.69
2018-03-27,1074.13
2018-03-28,1063.55
2018-03-29,1062.07
2018-03-30,1060.25
2018-04-02,1056.16
2018-04-03,1053.94
2018-04-04,1057.28
2018-04-05,1061.63
2018-04-06,1069.75
2018-04-09,1068.71
2018-04-10,1063.81
2018-04-11,1065.82
2018-04-12,1070.03
2018-04-13,1070.68
2018-04-16,1069.68
2018-04-17,1066.11
2018-04-18,1064.12
2018-04-19,1066.21
2018-04-20,1070.1
2018-04-23,1080.2
2018-04-24,1076.27
2018-04-25,1081.21
2018-04-26,1076.57
2018-04-27,1066.73
2018-04-30,1069.33
2018-05-01,1072.48
2018-05-02,1078.85
2018-05-03,1074.56
2018-05-04,1073.11
2018-05-07,1079.03
2018-05-08,1077.43
2018-05-09,1078.38
2018-05-10,1064.69
2018-05-11,1066.89
2018-05-14,1070.15
2018-05-15,1080.01
2018-05-16,1076.74
2018-05-17,1081.81
2018-05-18,1080.57
2018-05-21,1076.55
2018-05-22,1075.54
2018-05-23,1076.25
2018-05-24,1080.69
2018-05-25,1077.37
2018-05-28,1074.41
2018-05-29,1083.37
2018-05-30,1075.79
2018-05-31,1079.59
2018-06-01,1070.73
2018-06-04,1069.33
2018-06-05,1070.95
2018-06-06,1066.05
2018-06-07,1071.61
2018-06-08,1073.93
2018-06-11,1075.88
2018-06-12,1080.83
2018-06-13,1085.17
2018-06-14,1088.15
2018-06-15,1102.42
2018-06-18,1102.51
2018-06-19,1110.89
2018-06-20,1108.98
2018-06-21,1109.55
2018-06-22,1111
2018-06-25,1114.47
2018-06-26,1117.51
2018-06-27,1122.41
2018-06-28,1120.51
2018-06-29,1113.91
2018-07-02,1117.88
2018-07-03,1113.99
2018-07-04,1115.25
2018-07-05,1118.33
2018-07-06,1114.69
2018-07-09,1112.32
2018-07-10,1113.43
2018-07-11,1127.23
2018-07-12,1123.58
2018-07-13,1129
2018-07-16,1127.64
2018-07-17,1126
2018-07-18,1130.16
2018-07-19,1134.39
2018-07-20,1126.9
2018-07-23,1133.09
2018-07-24,1126.41
2018-07-25,1116.65
2018-07-26,1123.38
2018-07-27,1114.65
2018-07-30,1117.63
2018-07-31,1112.25
2018-08-01,1118.49
2018-08-02,1127.21
2018-08-03,1122.34
2018-08-06,1125.7
2018-08-07,1116.94
2018-08-08,1117.08
2018-08-09,1122.4
2018-08-10,1129.17
2018-08-13,1136
2018-08-14,1127.21
2018-08-15,1132.97
2018-08-16,1126.25
2018-08-17,1119.52
2018-08-20,1117.17
2018-08-21,1116.43
2018-08-22,1116.76
2018-08-23,1123.62
2018-08-24,1114.33
2018-08-27,1107.8
2018-08-28,1107.3
2018-08-29,1109.64
2018-08-30,1113.79
2018-08-31,1115.46
2018-09-03,1111.1
2018-09-04,1117.36
2018-09-05,1118.84
2018-09-06,1121.88
2018-09-07,1127.57
